,id,actor,title,return
0,862,Tom Hanks,Toy Story,12.4518011
1,862,Tim Allen,Toy Story,12.4518011
2,862,Don Rickles,Toy Story,12.4518011
3,862,Jim Varney,Toy Story,12.4518011
4,862,Wallace Shawn,Toy Story,12.4518011
5,862,John Ratzenberger,Toy Story,12.4518011
6,862,Annie Potts,Toy Story,12.4518011
7,862,John Morris,Toy Story,12.4518011
8,862,Erik von Detten,Toy Story,12.4518011
9,862,Laurie Metcalf,Toy Story,12.4518011
10,862,R. Lee Ermey,Toy Story,12.4518011
11,862,Sarah Freeman,Toy Story,12.4518011
12,862,Penn Jillette,Toy Story,12.4518011
13,8844,Robin Williams,Jumanji,4.0430346
14,8844,Jonathan Hyde,Jumanji,4.0430346
15,8844,Kirsten Dunst,Jumanji,4.0430346
16,8844,Bradley Pierce,Jumanji,4.0430346
17,8844,Bonnie Hunt,Jumanji,4.0430346
18,8844,Bebe Neuwirth,Jumanji,4.0430346
19,8844,David Alan Grier,Jumanji,4.0430346
20,8844,Patricia Clarkson,Jumanji,4.0430346
21,8844,Adam Hann-Byrd,Jumanji,4.0430346
22,8844,Laura Bell Bundy,Jumanji,4.0430346
23,8844,James Handy,Jumanji,4.0430346
24,8844,Gillian Barber,Jumanji,4.0430346
25,8844,Brandon Obray,Jumanji,4.0430346
26,8844,Cyrus Thiedeke,Jumanji,4.0430346
27,8844,Gary Joseph Thorup,Jumanji,4.0430346
28,8844,Leonard Zola,Jumanji,4.0430346
29,8844,Lloyd Berry,Jumanji,4.0430346
30,8844,Malcolm Stewart,Jumanji,4.0430346
31,8844,Annabel Kershaw,Jumanji,4.0430346
32,8844,Darryl Henriques,Jumanji,4.0430346
33,8844,Robyn Driscoll,Jumanji,4.0430346
34,8844,Peter Bryant,Jumanji,4.0430346
35,8844,Sarah Gilson,Jumanji,4.0430346
36,8844,Florica Vlad,Jumanji,4.0430346
37,8844,June Lion,Jumanji,4.0430346
38,8844,Brenda Lockmuller,Jumanji,4.0430346
39,15602,Walter Matthau,Grumpier Old Men,0.0
40,15602,Jack Lemmon,Grumpier Old Men,0.0
