,id,director,title,release_date,budget,revenue,return
0,862,John Lasseter,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
1,8844,Joe Johnston,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
2,15602,Howard Deutch,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
3,31357,Forest Whitaker,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
4,11862,Charles Shyer,Father of the Bride Part II,1995-02-10,0.0,76578911.0,0.0
5,949,Michael Mann,Heat,1995-12-15,60000000.0,187436818.0,3.123946966666667
6,11860,Sydney Pollack,Sabrina,1995-12-15,58000000.0,0.0,0.0
7,45325,Peter Hewitt,Tom and Huck,1995-12-22,0.0,0.0,0.0
8,9091,Peter Hyams,Sudden Death,1995-12-22,35000000.0,64350171.0,1.8385763142857143
9,710,Martin Campbell,GoldenEye,1995-11-16,58000000.0,352194034.0,6.072310931034483
10,9087,Rob Reiner,The American President,1995-11-17,62000000.0,107879496.0,1.739991870967742
11,12110,Mel Brooks,Dracula: Dead and Loving It,1995-12-22,0.0,0.0,0.0
12,21032,Simon Wells,Balto,1995-12-22,0.0,11348324.0,0.0
13,10858,Oliver Stone,Nixon,1995-12-22,44000000.0,13681765.0,0.3109492045454545
14,1408,Renny Harlin,Cutthroat Island,1995-12-22,98000000.0,10017322.0,0.1022175714285714
15,524,Martin Scorsese,Casino,1995-11-22,52000000.0,116112375.0,2.2329302884615383
16,4584,Ang Lee,Sense and Sensibility,1995-12-13,16500000.0,135000000.0,8.181818181818182
17,5,Allison Anders,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
18,5,Alexandre Rockwell,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
19,5,Robert Rodriguez,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
20,5,Quentin Tarantino,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
21,9273,Steve Oedekerk,Ace Ventura: When Nature Calls,1995-11-10,30000000.0,212385533.0,7.079517766666667
22,11517,Joseph Ruben,Money Train,1995-11-21,60000000.0,35431113.0,0.59051855
23,8012,Barry Sonnenfeld,Get Shorty,1995-10-20,30250000.0,115101622.0,3.805012297520661
24,1710,Jon Amiel,Copycat,1995-10-27,0.0,0.0,0.0
25,9691,Richard Donner,Assassins,1995-10-06,50000000.0,30303072.0,0.60606144
26,12665,Victor Salva,Powder,1995-10-27,0.0,0.0,0.0
27,451,Mike Figgis,Leaving Las Vegas,1995-10-27,3600000.0,49800000.0,13.833333333333334
28,16420,Oliver Parker,Othello,1995-12-15,0.0,0.0,0.0
29,9263,Lesli Linka Glatter,Now and Then,1995-10-20,12000000.0,27400000.0,2.283333333333333
30,17015,Roger Michell,Persuasion,1995-09-27,0.0,0.0,0.0
31,902,Jean-Pierre Jeunet,The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.0965895
32,902,Marc Caro,The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.0965895
33,37557,Zhang Yimou,Shanghai Triad,1995-04-30,0.0,0.0,0.0
34,9909,John N. Smith,Dangerous Minds,1995-08-11,0.0,180000000.0,0.0
35,63,Terry Gilliam,Twelve Monkeys,1995-12-29,29500000.0,168840000.0,5.7233898305084745
36,78802,Jean-Jacques Annaud,Wings of Courage,1996-09-18,0.0,0.0,0.0
37,9598,Chris Noonan,Babe,1995-07-18,30000000.0,254134910.0,8.471163666666667
38,47018,Christopher Hampton,Carrington,1995-11-08,0.0,0.0,0.0
39,687,Tim Robbins,Dead Man Walking,1995-12-29,11000000.0,39363635.0,3.5785122727272727
40,139405,Stephen Low,Across the Sea of Time,1995-10-20,0.0,0.0,0.0
41,33689,Andy Tennant,It Takes Two,1995-11-17,0.0,0.0,0.0
42,9603,Amy Heckerling,Clueless,1995-07-19,12000000.0,0.0,0.0
43,34615,Darrell James Roodt,"Cry, the Beloved Country",1995-12-15,0.0,676525.0,0.0
44,31174,Richard Loncraine,Richard III,1995-12-29,0.0,0.0,0.0
45,11443,Albert Hughes,Dead Presidents,1995-10-06,10000000.0,0.0,0.0
46,11443,Allen Hughes,Dead Presidents,1995-10-06,10000000.0,0.0,0.0
47,35196,Michael Hoffman,Restoration,1995-12-29,19000000.0,0.0,0.0
48,9312,Paul W.S. Anderson,Mortal Kombat,1995-08-18,18000000.0,122195920.0,6.788662222222222
49,577,Gus Van Sant,To Die For,1995-05-20,20000000.0,21284514.0,1.0642257
50,11861,Jocelyn Moorhouse,How To Make An American Quilt,1995-10-06,10000000.0,23574130.0,2.357413
51,807,David Fincher,Se7en,1995-09-22,33000000.0,327311859.0,9.91854118181818
52,10530,Mike Gabriel,Pocahontas,1995-06-14,55000000.0,346079773.0,6.292359509090909
53,10530,Eric Goldberg,Pocahontas,1995-06-14,55000000.0,346079773.0,6.292359509090909
54,8391,Patricia Rozema,When Night Is Falling,1995-05-05,0.0,0.0,0.0
55,629,Bryan Singer,The Usual Suspects,1995-07-19,6000000.0,23341568.0,3.890261333333333
56,117164,Richard W. Munchkin,Guardian Angel,1994-11-22,0.0,0.0,0.0
57,11448,Woody Allen,Mighty Aphrodite,1995-09-13,15000000.0,6700000.0,0.4466666666666666
58,49133,Gianni Amelio,Lamerica,1994-01-01,0.0,0.0,0.0
59,26441,Holly Goldberg Sloan,The Big Green,1995-09-29,0.0,0.0,0.0
60,97406,Ulu Grosbard,Georgia,1995-05-19,0.0,0.0,0.0
61,124057,Robert Tinnell,Kids of the Round Table,1997-07-08,0.0,0.0,0.0
62,9089,Jodie Foster,Home for the Holidays,1995-11-02,0.0,17519169.0,0.0
63,11010,Michael Radford,The Postman,1994-09-22,0.0,0.0,0.0
64,99040,Robert Lepage,The Confessional,1995-09-29,0.0,0.0,0.0
65,11359,Frank Oz,The Indian in the Cupboard,1995-07-14,45000000.0,0.0,0.0
66,17182,John Schlesinger,Eye for an Eye,1996-01-12,20000000.0,0.0,0.0
67,2054,Stephen Herek,Mr. Holland's Opus,1995-12-29,0.0,106269971.0,0.0
68,10607,Paris Barclay,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,0.0,0.0
69,19760,Bill Bennett,Two If by Sea,1996-01-12,0.0,0.0,0.0
70,9536,Jason Bloom,Bio-Dome,1996-01-12,15000000.0,0.0,0.0
71,11525,Farhad Mann,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,0.0,2409225.0,0.0
72,40628,James Foley,Two Bits,1995-10-22,0.0,0.0,0.0
73,4482,Josiane Balasko,French Twist,1995-02-08,0.0,0.0,0.0
74,10634,F. Gary Gray,Friday,1995-04-26,3500000.0,28215918.0,8.061690857142857
75,755,Robert Rodriguez,From Dusk Till Dawn,1996-01-19,19000000.0,25836616.0,1.359821894736842
76,11859,Andrew Sipes,Fair Game,1995-11-03,50000000.0,11534477.0,0.23068954
77,28387,Noah Baumbach,Kicking and Screaming,1995-10-06,0.0,718490.0,0.0
78,48750,Claude Lelouch,Les Miserables,1995-03-22,0.0,0.0,0.0
79,20927,Michael Goldenberg,Bed of Roses,1996-01-26,0.0,19030691.0,0.0
80,36929,Steve Miner,Big Bully,1996-01-26,15000000.0,2042530.0,0.1361686666666666
81,9102,Christian Duguay,Screamers,1995-09-08,20000000.0,5781885.0,0.28909425
82,124626,Susanne Ofteringer,Nico Icon,1995-02-18,0.0,0.0,0.0
83,27526,Sean Penn,The Crossing Guard,1995-11-15,0.0,0.0,0.0
84,9623,Brian Gibson,The Juror,1996-02-02,44000000.0,0.0,0.0
85,46785,Jafar Panahi,The White Balloon,1995-01-01,0.0,0.0,0.0
86,400,Gary Fleder,Things to Do in Denver When You're Dead,1995-12-01,8000000.0,529766.0,0.06622075
87,880,Marleen Gorris,Antonia's Line,1995-09-12,900000.0,0.0,0.0
88,146599,Tim Reid,Once Upon a Time... When We Were Colored,1996-01-26,0.0,0.0,0.0
89,188588,Henry Jaglom,Last Summer in the Hamptons,1995-11-22,0.0,0.0,0.0
90,8447,Philip Haas,Angels and Insects,1995-09-10,0.0,0.0,0.0
91,10534,Ridley Scott,White Squall,1996-02-02,38000000.0,10300000.0,0.2710526315789474
92,17414,Ken Kwapis,Dunston Checks In,1996-01-12,16000000.0,0.0,0.0
93,13997,Penelope Spheeris,Black Sheep,1996-02-01,0.0,32.0,0.0
94,2086,John Badham,Nick of Time,1995-11-22,8169363.0,8175346.0,1.000732370443081
95,61548,John Duigan,The Journey of August King,1995-09-14,0.0,0.0,0.0
